unixtime,open,high,low,close,volume,label
1734206400000,101293.1,101450.0,100559.8,101381.0,10937.323,0.0
1734220800000,101381.0,102165.4,101200.1,101700.1,15592.176,0.0
1734235200000,101700.0,102900.0,101460.8,101671.9,27541.411,0.0
1734249600000,101671.8,102666.0,101525.2,102623.1,15406.991,0.0
1734264000000,102623.0,103362.3,102438.0,102668.5,31971.916,0.0
1734278400000,102668.5,103498.9,102556.3,103227.7,18789.402,0.0
1734292800000,103227.8,105374.6,102592.4,104460.4,48432.02,0.0
1734307200000,104460.5,106665.8,104245.2,104560.0,62637.778,0.0
1734321600000,104560.0,105390.0,104439.3,104949.9,18270.625,0.0
1734336000000,104950.0,104991.7,103585.2,103717.8,24163.793,0.0
1734350400000,103717.9,106466.9,103264.6,106281.2,72852.537,0.0
1734364800000,106281.1,107777.0,105769.0,106546.0,71322.401,0.0
1734379200000,106546.1,106618.2,105424.0,106023.2,25148.622,0.0
1734393600000,106023.2,106980.0,105623.0,106824.4,21309.575,0.0
1734408000000,106824.4,107113.9,106331.6,106784.0,16950.593,-1.0
1734422400000,106784.0,107493.9,106671.7,106777.2,21219.982,-1.0
1734436800000,106777.1,108366.8,105674.0,106429.9,71086.715,-1.0
1734451200000,106429.9,107596.0,106104.6,106450.5,40303.166,-1.0
1734465600000,106450.4,106877.3,105252.0,106074.6,26903.881,-1.0
1734480000000,106074.6,106484.6,104527.6,104716.8,36652.409,-1.0
1734494400000,104716.8,104716.9,103065.6,104200.1,46474.659,-1.0
1734508800000,104200.1,104993.7,103683.9,104978.6,21989.201,-1.0
1734523200000,104978.6,105343.8,103611.7,104395.1,45761.763,-1.0
1734537600000,104395.2,104959.4,102777.1,102782.1,60569.29,-1.0
1734552000000,102781.8,102954.8,99951.1,100181.1,117134.613,-1.0
1734566400000,100181.2,101305.1,98744.0,101163.3,68598.754,-1.0
1734580800000,101163.4,101694.9,100613.2,101615.2,19507.702,-1.0
1734595200000,101615.1,102600.0,101338.8,102419.9,23149.224,-1.0
1734609600000,102420.0,102756.7,99455.0,100631.1,75610.02,-1.0
1734624000000,100631.1,101162.5,96233.7,97172.1,121737.036,0.0
1734638400000,97172.2,98391.4,95681.2,97434.4,64365.727,0.0
1734652800000,97434.3,97795.5,95946.9,97083.2,42560.281,0.0
1734667200000,97083.2,98243.0,96350.1,97826.1,44423.807,-1.0
1734681600000,97826.1,97867.5,92613.7,92715.1,108658.87,1.0
1734696000000,92715.1,97555.0,92272.6,96961.3,115205.819,0.0
1734710400000,96961.4,97721.0,96254.0,97079.6,53735.933,0.0
1734724800000,97079.6,97777.0,95393.8,97764.4,31604.085,0.0
1734739200000,97764.5,97773.1,97142.0,97444.9,16567.071,0.0
1734753600000,97444.9,99485.0,97330.0,98988.1,32678.501,0.0
1734768000000,98988.0,99137.5,97757.8,98225.3,25724.796,0.0
1734782400000,98225.4,98253.5,96375.0,97486.5,42516.701,0.0
1734796800000,97486.6,97695.0,96800.0,97242.2,22571.885,0.0
