[22:06:55] [DEBUG] Using proactor: IocpProactor
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488134, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488135, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488136, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488137, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488138, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488139, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488140, 'p': '115868.90000000', 'q': '0.00010000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488141, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488142, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488143, 'p': '115868.90000000', 'q': '0.01294000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488144, 'p': '115868.90000000', 'q': '0.00042000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488145, 'p': '115868.90000000', 'q': '0.00005000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488146, 'p': '115868.90000000', 'q': '0.00998000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488147, 'p': '115868.90000000', 'q': '0.00073000', 'T': 1758373690175, 'm': True, 'M': True}
[22:08:10] [INFO] {'e': 'trade', 'E': 1758373690179, 's': 'BTCUSDT', 't': 5245488148, 'p': '115868.90000000', 'q': '0.00327000', 'T': 1758373690175, 'm': True, 'M': True}
