,info,symbol,timestamp,datetime,timeframe,longShortRatio
76,"{'symbol': 'BTCUSDT', 'longAccount': '0.6550', 'longShortRatio': '1.8986', 'shortAccount': '0.3450', 'timestamp': '1757221800000'}",BTC/USDT:USDT,1757221800000,2025-09-07T05:10:00.000Z,,1.8986
77,"{'symbol': 'BTCUSDT', 'longAccount': '0.6547', 'longShortRatio': '1.8960', 'shortAccount': '0.3453', 'timestamp': '1757222100000'}",BTC/USDT:USDT,1757222100000,2025-09-07T05:15:00.000Z,,1.896
78,"{'symbol': 'BTCUSDT', 'longAccount': '0.6547', 'longShortRatio': '1.8960', 'shortAccount': '0.3453', 'timestamp': '1757222400000'}",BTC/USDT:USDT,1757222400000,2025-09-07T05:20:00.000Z,,1.896
79,"{'symbol': 'BTCUSDT', 'longAccount': '0.6545', 'longShortRatio': '1.8944', 'shortAccount': '0.3455', 'timestamp': '1757222700000'}",BTC/USDT:USDT,1757222700000,2025-09-07T05:25:00.000Z,,1.8944
80,"{'symbol': 'BTCUSDT', 'longAccount': '0.6550', 'longShortRatio': '1.8986', 'shortAccount': '0.3450', 'timestamp': '1757223000000'}",BTC/USDT:USDT,1757223000000,2025-09-07T05:30:00.000Z,,1.8986
81,"{'symbol': 'BTCUSDT', 'longAccount': '0.6551', 'longShortRatio': '1.8994', 'shortAccount': '0.3449', 'timestamp': '1757223300000'}",BTC/USDT:USDT,1757223300000,2025-09-07T05:35:00.000Z,,1.8994
82,"{'symbol': 'BTCUSDT', 'longAccount': '0.6551', 'longShortRatio': '1.8994', 'shortAccount': '0.3449', 'timestamp': '1757223600000'}",BTC/USDT:USDT,1757223600000,2025-09-07T05:40:00.000Z,,1.8994
83,"{'symbol': 'BTCUSDT', 'longAccount': '0.6549', 'longShortRatio': '1.8977', 'shortAccount': '0.3451', 'timestamp': '1757223900000'}",BTC/USDT:USDT,1757223900000,2025-09-07T05:45:00.000Z,,1.8977
84,"{'symbol': 'BTCUSDT', 'longAccount': '0.6547', 'longShortRatio': '1.8960', 'shortAccount': '0.3453', 'timestamp': '1757224200000'}",BTC/USDT:USDT,1757224200000,2025-09-07T05:50:00.000Z,,1.896
85,"{'symbol': 'BTCUSDT', 'longAccount': '0.6547', 'longShortRatio': '1.8960', 'shortAccount': '0.3453', 'timestamp': '1757224500000'}",BTC/USDT:USDT,1757224500000,2025-09-07T05:55:00.000Z,,1.896
86,"{'symbol': 'BTCUSDT', 'longAccount': '0.6545', 'longShortRatio': '1.8944', 'shortAccount': '0.3455', 'timestamp': '1757224800000'}",BTC/USDT:USDT,1757224800000,2025-09-07T06:00:00.000Z,,1.8944
87,"{'symbol': 'BTCUSDT', 'longAccount': '0.6544', 'longShortRatio': '1.8935', 'shortAccount': '0.3456', 'timestamp': '1757225100000'}",BTC/USDT:USDT,1757225100000,2025-09-07T06:05:00.000Z,,1.8935
88,"{'symbol': 'BTCUSDT', 'longAccount': '0.6540', 'longShortRatio': '1.8902', 'shortAccount': '0.3460', 'timestamp': '1757225400000'}",BTC/USDT:USDT,1757225400000,2025-09-07T06:10:00.000Z,,1.8902
89,"{'symbol': 'BTCUSDT', 'longAccount': '0.6537', 'longShortRatio': '1.8877', 'shortAccount': '0.3463', 'timestamp': '1757225700000'}",BTC/USDT:USDT,1757225700000,2025-09-07T06:15:00.000Z,,1.8877
90,"{'symbol': 'BTCUSDT', 'longAccount': '0.6534', 'longShortRatio': '1.8852', 'shortAccount': '0.3466', 'timestamp': '1757226000000'}",BTC/USDT:USDT,1757226000000,2025-09-07T06:20:00.000Z,,1.8852
91,"{'symbol': 'BTCUSDT', 'longAccount': '0.6531', 'longShortRatio': '1.8827', 'shortAccount': '0.3469', 'timestamp': '1757226300000'}",BTC/USDT:USDT,1757226300000,2025-09-07T06:25:00.000Z,,1.8827
92,"{'symbol': 'BTCUSDT', 'longAccount': '0.6530', 'longShortRatio': '1.8818', 'shortAccount': '0.3470', 'timestamp': '1757226600000'}",BTC/USDT:USDT,1757226600000,2025-09-07T06:30:00.000Z,,1.8818
93,"{'symbol': 'BTCUSDT', 'longAccount': '0.6529', 'longShortRatio': '1.8810', 'shortAccount': '0.3471', 'timestamp': '1757226900000'}",BTC/USDT:USDT,1757226900000,2025-09-07T06:35:00.000Z,,1.881
94,"{'symbol': 'BTCUSDT', 'longAccount': '0.6526', 'longShortRatio': '1.8785', 'shortAccount': '0.3474', 'timestamp': '1757227200000'}",BTC/USDT:USDT,1757227200000,2025-09-07T06:40:00.000Z,,1.8785
95,"{'symbol': 'BTCUSDT', 'longAccount': '0.6525', 'longShortRatio': '1.8777', 'shortAccount': '0.3475', 'timestamp': '1757227500000'}",BTC/USDT:USDT,1757227500000,2025-09-07T06:45:00.000Z,,1.8777
96,"{'symbol': 'BTCUSDT', 'longAccount': '0.6523', 'longShortRatio': '1.8760', 'shortAccount': '0.3477', 'timestamp': '1757227800000'}",BTC/USDT:USDT,1757227800000,2025-09-07T06:50:00.000Z,,1.876
97,"{'symbol': 'BTCUSDT', 'longAccount': '0.6522', 'longShortRatio': '1.8752', 'shortAccount': '0.3478', 'timestamp': '1757228100000'}",BTC/USDT:USDT,1757228100000,2025-09-07T06:55:00.000Z,,1.8752
98,"{'symbol': 'BTCUSDT', 'longAccount': '0.6519', 'longShortRatio': '1.8727', 'shortAccount': '0.3481', 'timestamp': '1757228400000'}",BTC/USDT:USDT,1757228400000,2025-09-07T07:00:00.000Z,,1.8727
99,"{'symbol': 'BTCUSDT', 'longAccount': '0.6516', 'longShortRatio': '1.8703', 'shortAccount': '0.3484', 'timestamp': '1757228700000'}",BTC/USDT:USDT,1757228700000,2025-09-07T07:05:00.000Z,,1.8703
